PRIMARY,DETAILED,DESCRIPTION,Name w/out 'Primary',Alternate names,Would we group?,PLAIDEGORY,DiffsNewTaxonomy2022Category,PLAIDEGORY 2.0,Cleo_Default,Ideas Olly,Ideas Giulia,Best Cleo Default category [WIP],,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OFFICE_SUPPLIES,Stores that specialize in office goods,,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,"Multi-purpose e-commerce platforms such as Etsy, Ebay and Amazon",online marketplaces,online shopping,this could be a useful separate category to build convos around,Online shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_PET_SUPPLIES,Pet supplies and pet food,pet supplies,,,Miscellaneous shopping,Family & Pets,Pets,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SPORTING_GOODS,"Sporting goods, camping gear, and outdoor equipment",sporting goods,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES,"Superstores such as Target and Walmart, selling both groceries and general merchandise",,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_TOBACCO_AND_VAPE,Purchases for tobacco and vaping products,tobacco and vape,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,"Other miscellaneous merchandise, including toys, hobbies, and arts and crafts",,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE,"Furniture, bedding, and home accessories",,,"lines 59-63: could probably group these into the category ""home improvement""",Home improvement,Groceries & Household,Home improvement,General,,,Shopping,,,,,,,,,,,,,,,
HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE,"Building materials, hardware stores, paint, and wallpaper",,,,Home improvement,Groceries & Household,Home improvement,General,,,Shopping,,,,,,,,,,,,,,,
HOME_IMPROVEMENT,HOME_IMPROVEMENT_REPAIR_AND_MAINTENANCE,"Plumbing, lighting, gardening, and roofing",,,,Home improvement,Groceries & Household,Home improvement,General,,,General,,,,,,,,,,,,,,,
HOME_IMPROVEMENT,HOME_IMPROVEMENT_SECURITY,Home security system purchases,,,,Home improvement,Groceries & Household,Home improvement,General,,,General,,,,,,,,,,,,,,,
HOME_IMPROVEMENT,HOME_IMPROVEMENT_OTHER_HOME_IMPROVEMENT,"Other miscellaneous home purchases, including pool installation and pest control",,,,Home improvement,Groceries & Household,Home improvement,General,,,General,,,,,,,,,,,,,,,
MEDICAL,MEDICAL_DENTAL_CARE,Dentists and general dental care,dental care,,,Dental care,Medical,Medical,General,,,General,,,,,,,,,,,,,,,
MEDICAL,MEDICAL_EYE_CARE,"Optometrists, contacts, and glasses stores",eye care,,,Eye care,Medical,Medical,General,,,General,,,,,,,,,,,,,,,
MEDICAL,MEDICAL_NURSING_CARE,Nursing care and facilities,nursing care,,,Nursing care,Medical,Medical,General,,,General,,,,,,,,,,,,,,,
MEDICAL,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,Pharmacies and nutrition shops,pharmacies and supplements,,,Pharmacies and supplements,Medical,Medical,General,,,General,,,,,,,,,,,,,,,
MEDICAL,MEDICAL_PRIMARY_CARE,Doctors and physicians,primary care,doctor,,Doctor,Medical,Medical,General,,,General,,,,,,,,,,,,,,,
MEDICAL,MEDICAL_VETERINARY_SERVICES,Prevention and care procedures for animals,veterinary services,vet,,Vet,Family & Pets,Pets,General,Note: Pet insurance also in Pets caletory,,General,,,,,,,,,,,,,,,
MEDICAL,MEDICAL_OTHER_MEDICAL,"Other miscellaneous medical, including blood work, hospitals, and ambulances",other medical,,,Other medical,Medical,Medical,General,,,General,,,,,,,,,,,,,,,
PERSONAL_CARE,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,"Gyms, fitness centers, and workout classes",gyms and fitness centres,fitness,,Fitness,Personal Care & Wellbeing,Fitness,General,,,General,,,,,,,,,,,,,,,
PERSONAL_CARE,PERSONAL_CARE_HAIR_AND_BEAUTY,"Manicures, haircuts, waxing, spa/massages, and bath and beauty products ",hair and beauty,,,Hair and beauty,Personal Care & Wellbeing,Personal Care,General,,,General,,,,,,,,,,,,,,,
PERSONAL_CARE,PERSONAL_CARE_LAUNDRY_AND_DRY_CLEANING,"Wash and fold, and dry cleaning expenses",laundry and dry cleaning,laundry services,,Laundry services,Personal Care & Wellbeing,Laundry services,General,,,,,,,,,,,,,,,,,,
PERSONAL_CARE,PERSONAL_CARE_OTHER_PERSONAL_CARE,"Other miscellaneous personal care, including mental health apps and services",other personal care,,,Other personal care,Personal Care & Wellbeing,Personal Care,General,Note: think about mental health apps,,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_PLANNING,"Financial planning, and tax and accounting services",accounting and financial planning,accounting services,,Accounting services,"Housing, Utilities & Bills",General services,General,,Would 'general services' be better? Feels more clear than just 'services,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_AUTOMOTIVE,"Oil changes, car washes, repairs, and towing",automotive,car maintenance,,Car maintenance,Transport & Auto,Car maintenance,General,,,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_CHILDCARE,Babysitters and daycare,childcare,,,Childcare,"Housing, Utilities & Bills",Childcare,General,,,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_CONSULTING_AND_LEGAL,Consulting and legal services,consulting and legal,legal services,,Legal services ,"Housing, Utilities & Bills",General services,General,,,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_EDUCATION,"Elementary, high school, professional schools, and college tuition",education,,,Education,Learning & Tuition,Education,General,,,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_INSURANCE,"Insurance for auto, home, and healthcare",insurance,,,Insurance,"Housing, Utilities & Bills",Insurance,General,,,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_POSTAGE_AND_SHIPPING,"Mail, packaging, and shipping services",postage and shipping,,Does this categories shipping costs as a part of online purchases? ,Postage and shipping,"Housing, Utilities & Bills",General services,General,,,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_STORAGE,Storage services and facilities,storage,,,Storage,"Housing, Utilities & Bills",General services,General,,,,,,,,,,,,,,,,,,
GENERAL_SERVICES,GENERAL_SERVICES_OTHER_GENERAL_SERVICES,"Other miscellaneous services, including advertising and cloud storage ",other general services,,,Other general services,"Housing, Utilities & Bills",General services,General,,,,,,,,,,,,,,,,,,
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_DONATIONS,"Charitable, political, and religious donations",donations,donations,,Donations,Giving,Donations,General,,,,,,,,,,,,,,,,,,
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_GOVERNMENT_DEPARTMENTS_AND_AGENCIES,"Government departments and agencies, such as driving licences, and passport renewal",government departments and agencies,government departments,,Government departments,"Housing, Utilities & Bills",Government,General,,,,,,,,,,,,,,,,,,
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_TAX_PAYMENT,"Tax payments, including income and property taxes",tax payment,taxes,,Taxes,"Housing, Utilities & Bills",Government,General,,,,,,,,,,,,,,,,,,
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_OTHER_GOVERNMENT_AND_NON_PROFIT,Other miscellaneous government and non-profit agencies,other government and nonprofit,,,Other government and nonprofit,"Housing, Utilities & Bills",Government,General,,,,,,,,,,,,,,,,,,
TRANSPORTATION,TRANSPORTATION_BIKES_AND_SCOOTERS,Bike and scooter rentals,bike and scooter rentals,,,Bike and scooter rentals,Transport & Auto,Public transit,Transport,,,,,,,,,,,,,,,,,,
TRANSPORTATION,TRANSPORTATION_GAS,Purchases at a gas station,gas,,"Could gas, parking, and tolls be 'driving'? or parking and tolls go into 'other?",Driving,Transport & Auto,Gas,Transport,,,,,,,,,,,,,,,,,,
TRANSPORTATION,TRANSPORTATION_PARKING,Parking fees and expenses,parking,,,Driving,Transport & Auto,Transport,Transport,,,,,,,,,,,,,,,,,,
TRANSPORTATION,TRANSPORTATION_PUBLIC_TRANSIT,"Public transportation, including rail and train, buses, and metro",public transit,,,Public transit,Transport & Auto,Public transit,Transport,,,,,,,,,,,,,,,,,,
TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Taxi and ride share services,rideshare apps,,,Rideshare apps,Transport & Auto,Rideshare apps,Transport,,"Might be good to distinguish ride sharing from public transport (i.e. you've spent X on ridesharing, take the bus instead) ",,,,,,,,,,,,,,,,
TRANSPORTATION,TRANSPORTATION_TOLLS,Toll expenses,tolls,,,Driving,Transport & Auto,Transport,Transport,,,,,,,,,,,,,,,,,,
TRANSPORTATION,TRANSPORTATION_OTHER_TRANSPORTATION,Other miscellaneous transportation expenses,other transportation,,,Driving,Transport & Auto,Transport,Transport,,,,,,,,,,,,,,,,,,
TRAVEL,TRAVEL_FLIGHTS,Airline expenses,flights,,I actually like the breakdown of different travel expenses but would be also good to be able to give a 'whole' number (i.e. you spent $X on vacations this summer) ,Flights,Vacations,Travel,Holidays,,,,,,,,,,,,,,,,,,
TRAVEL,TRAVEL_LODGING,"Hotels, motels, and hosted accommodation such as Airbnb",lodging,,,Lodging,Vacations,Travel,Holidays,,,,,,,,,,,,,,,,,,
TRAVEL,TRAVEL_RENTAL_CARS,"Rental cars, charter buses, and trucks",rental cars,,,Rental cars,Vacations,Travel,Holidays,,,,,,,,,,,,,,,,,,
TRAVEL,TRAVEL_OTHER_TRAVEL,Other miscellaneous travel expenses,other travel,,,Other travel,Vacations,Travel,Holidays,,,,,,,,,,,,,,,,,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,Gas and electricity bills,gas and electricity,,,Gas and electricity,"Housing, Utilities & Bills",Utilities & Bills,Bills,,,Bills,,,,,,,,,,,,,,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Internet and cable bills,internet and cable,,,Internet and cable,"Housing, Utilities & Bills",Utilities & Bills,Bills,,,Bills,,,,,,,,,,,,,,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT,Rent payment,rent,,,Rent,"Housing, Utilities & Bills",Rent,Bills,,,Bills,,,,,,,,,,,,,,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_SEWAGE_AND_WASTE_MANAGEMENT,Sewage and garbage disposal bills,sewage and waste management,,,Sewage and waste management,"Housing, Utilities & Bills",Utilities & Bills,Bills,,,Bills,,,,,,,,,,,,,,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_TELEPHONE,Cell phone bills,telephone,phone bill,,Phone bill,"Housing, Utilities & Bills",Utilities & Bills,Bills,,,Bills,,,,,,,,,,,,,,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_WATER,Water bills,water ,water bill,,Water bill,"Housing, Utilities & Bills",Utilities & Bills,Bills,,,Bills,,,,,,,,,,,,,,,
RENT_AND_UTILITIES,RENT_AND_UTILITIES_OTHER_UTILITIES,Other miscellaneous utility bills,other utilities,,,Other utilities,"Housing, Utilities & Bills",Utilities & Bills,Bills,,,Bills,,,,,,,,,,,,,,,
